d,value,time_rel
0,0.8,1.917370080947876
1,0.1,0.5534094146222797
2,0.0,0.6233165179747813
3,0.4,0.5173978962724393
4,0.4,0.48022787018673196
5,1.0,0.6920014640150143
6,0.7,0.5242868790653842
7,0.5,0.5944017250117093
8,0.4,0.44168718765884685
9,0.2,0.5808888517427767
10,0.2,0.47994339630101546
11,0.5,0.5524451714660434
12,0.8,0.6320527437985264
13,0.7,0.6433840758093654
14,0.4,0.45555735590132646
15,0.0,0.626922937086806
16,0.8,0.6633668081214069
17,0.1,0.6504629038512374
18,0.7,0.5473944457941046
19,0.8,0.4111520677541281
20,0.8,0.5310290568893248
21,1.0,0.37705586357894205
22,0.6,0.5869974623691521
23,0.7,0.43153032564791793
24,0.5,0.723698209285386
25,0.9,0.632447913220741
26,0.1,0.496848666637363
27,0.7,0.5576639197546275
28,0.5,0.5930868626564487
29,0.7,0.7453644999007507
30,0.4,0.5735733893462013
31,0.0,0.5795528073552683
32,0.2,0.5443136579924173
33,0.8,0.5976555056823738
34,0.2,0.6511425021715205
35,0.7,0.707075235186118
36,0.6,0.39479749214692833
37,0.8,0.7098180233902934
38,0.8,0.5050487031590961
39,0.8,0.5166843917613335
40,1.0,0.5044357579950606
41,0.1,0.5365495615860701
42,1.0,0.5248041108042992
43,0.1,0.5513304596379194
44,0.8,0.3564914258829419
45,0.6,0.6235618388241395
46,0.6,0.5667767427900811
47,0.4,0.6325316534149827
48,0.2,0.5998384805319696
49,0.6,0.6528027189495048
50,0.3,0.4643373835445308
51,0.5,0.6085127865011255
52,0.2,0.5963244328058381
53,0.2,0.5061696836275871
54,0.1,0.7491438240726811
55,0.0,0.6615125661221379
56,0.0,0.5138995391799178
57,1.0,0.6792590663916049
58,0.5,0.652697490910418
59,0.6,0.49682022942912757
60,0.6,0.7311360900376944
61,0.8,0.6002737243596923
62,0.9,0.42332031050976754
63,0.5,0.4783801218533829
64,0.1,0.5348568220342227
65,0.3,0.5057641448573228
66,1.0,0.4714826288892253
67,0.5,0.5518887796459766
68,0.7,0.45447633159126866
69,0.5,0.7904681082312845
70,0.0,0.4402572623477996
71,0.9,0.6066363980043977
72,0.1,0.676400634129104
73,1.0,0.7747676974131058
74,0.8,0.7443960800669667
75,1.0,0.5948347331389192
76,0.1,0.506560050430643
77,0.4,0.6866337356786991
78,0.7,0.6020055900290988
79,0.2,0.7350007236776488
80,0.4,0.4690805240454388
81,0.8,0.5539033562404748
82,0.4,0.6312335940891719
83,0.3,0.6865893834099
84,1.0,0.5904365176028182
85,0.4,0.5622605020779445
86,0.2,0.6369494351199124
87,0.3,0.45810293441262084
