d,value,time_rel
0,0.6,0.8865551948547363
1,0.9,0.6029119406490374
2,0.7,0.6695716931842799
3,0.2,0.6237128517540306
4,0.8,0.6105703597949306
5,0.3,0.6040254567325026
6,0.1,0.5263526762501813
7,0.1,0.5421701076992232
8,0.8,0.6438613649236581
9,0.6,0.6082945722874236
10,0.9,0.5371181245053652
11,0.7,0.7015827601400919
12,0.6,0.6896713712185113
13,0.4,0.5458271099408621
14,0.6,0.5878967045349527
15,0.2,0.48487313356658146
16,0.5,0.5968827926663718
17,0.2,0.5489850594909289
18,0.1,0.4873008790683274
19,0.9,0.605777710669643
20,0.3,0.48894018557145447
21,0.9,0.5111957255501232
22,0.7,0.43204855330031455
23,0.8,0.6418714986818453
24,0.5,0.5590321561253632
25,1.0,0.5833867152935206
26,0.8,0.41979082388756395
27,0.6,0.6520337319262485
28,0.0,0.6176319052988377
29,0.9,0.5698794452818808
30,0.2,0.5954241033724248
31,0.5,0.7089913099924908
32,0.9,0.5694962292646454
33,0.9,0.6677323708850437
34,0.8,0.6028311999960856
35,0.2,0.7200202360882036
36,0.5,0.5702116435643596
37,0.5,0.6396620558184879
38,0.7,0.4127291621819218
39,0.8,0.5848707417310061
40,0.3,0.5673755848753707
41,0.6,0.5642422324058869
42,0.9,0.6815803052187414
43,0.1,0.478208903605298
44,0.7,0.45556896051406726
45,0.6,0.7289421229867634
46,0.9,0.3768067437431085
47,0.9,0.7235496715910954
48,0.9,0.6339847612465492
49,0.1,0.49619138727975265
50,0.8,0.6071739338579609
51,0.1,0.47595722971507987
52,0.6,0.4966080806683175
53,0.6,0.44921923848745154
54,0.3,0.7064059412392859
55,0.7,0.4889481710087595
56,0.9,0.4398155792889409
57,0.0,0.6195717213952383
58,0.0,0.5794539440549297
59,0.7,0.5034195664843242
60,0.5,0.6684183035239465
61,0.1,0.590653869907123
62,0.6,0.43986805179610694
63,0.9,0.6407560456895696
64,0.9,0.5537789918176043
65,0.1,0.5087926073132211
66,0.0,0.6368976800258822
67,0.6,0.7084346405160995
68,0.5,0.6823376980387045
69,0.7,0.6650765650095275
70,1.0,0.5744324014292931
71,0.0,0.7356999445459766
72,1.0,0.4186296252326772
73,0.7,0.5356723325631331
74,0.2,0.5455593142471971
75,0.3,0.4443793639491612
76,0.9,0.4414202391369394
77,0.8,0.6790361863568617
78,0.4,0.6632695176614855
79,0.3,0.6871537841981386
80,1.0,0.6794961684269685
81,0.8,0.6979395254361866
82,0.8,0.6215584461531524
83,0.6,0.5174366121670496
84,0.3,0.5457641512570488
85,0.3,0.6162858119007766
86,0.5,0.7566272188749589
87,0.0,0.591559969010524
88,0.0,0.5048077224168435
89,0.6,0.5981099304874005
90,0.2,0.5284532349159986
91,0.9,0.4568243599934173
92,0.2,0.6312676215906179
93,0.6,0.5755932406762228
94,0.3,0.4414922116343024
95,0.4,0.5750976358753843
96,1.0,0.7131401151179783
97,0.0,0.3897536391571038
98,0.1,0.5124820097965158
99,0.4,0.5907952312931619
100,0.1,0.6085909801282514
101,0.5,0.4973862136849343
102,0.3,0.6612771791015831
103,1.0,0.6373077083234212
104,0.6,0.6195716735342759
105,0.2,0.5001316485933458
106,0.9,0.46596931425778004
107,0.8,0.4976092135112201
108,0.1,0.49603244009064995
109,0.5,0.6328668606654856
110,0.6,0.47195269691696173
111,0.8,0.47323197742067796
112,0.0,0.559054556321677
113,1.0,0.5127922310428633
114,0.3,0.4686990073548145
115,0.4,0.5998221944446662
116,1.0,0.6521572687591025
