n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
45,2,Exact_Baseline,,,,,,610.3715192809007,1035
45,2,Naive,,,,,,63.64811334319277,96
45,2,Max_Prob,9.083747863769531e-05,0.0003249645233154297,0.8748092651367188,0.0006167888641357422,37.831063279176526,38.70690513517933,51
64,2,Exact_Baseline,,,,,,1195.8424406772317,2080
64,2,Naive,,,,,,57.30579497278677,82
64,2,Max_Prob,0.0002846717834472656,0.0005717277526855469,3.7090792655944824,0.0012364387512207031,50.5485011179553,54.25967322183713,70
90,2,Exact_Baseline,,,,,,2349.0033790479724,4095
90,2,Naive,,,,,,112.28384387709629,176
90,2,Max_Prob,0.0005421638488769531,0.006085872650146484,60.303322553634644,0.0164492130279541,80.43344509030183,140.75984489346345,120
142,2,Exact_Baseline,,,,,,5815.268777889815,10153
142,2,Naive,,,,,,107.70049720752385,157
142,2,Max_Prob,0.0013301372528076172,0.02449774742126465,511.9766376018524,0.07109284400939941,138.81023771946005,650.8837960499959,210
201,2,Exact_Baseline,,,,,,11603.245049286583,20301
201,2,Naive,,,,,,155.54548323274128,225
201,2,Max_Prob,0.0025959014892578125,0.04764533042907715,1997.5564641952515,0.14499449729919434,186.14719555844448,2183.8988954829133,279
