n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
1000,2,Naive,,,,,,2134.923635501899,3717
1000,2,Max_Prob,0.0005578994750976562,0.08972287178039551,1.5047409534454346,0.0020895004272460938,577.0769176806393,578.6740289057675,1011
1000,4,Naive,,,,,,32393.00719656528,53122
1000,4,Max_Prob,0.40282297134399414,0.21737146377563477,23.79365873336792,0.7331202030181885,727.7611952239434,752.9081685954492,1278
1000,6,Naive,,,,,,55601.06416924566,85023
1000,6,Max_Prob,0.20041537284851074,4.391136407852173,1420.666784286499,38.429667472839355,1495.2659056849832,2958.9539092250225,2635
1000,8,Naive,,,,,,63630.399945367266,96891
1000,8,Max_Prob,0.3923356533050537,8.375265121459961,5648.872852087021,255.58481693267822,3946.74127583233,9859.966545626794,6903
1000,10,Naive,,,,,,67202.47505309082,100639
1000,10,Max_Prob,0.1944262981414795,8.07854437828064,5378.755166530609,350.32254004478455,3691.4681264598803,9428.818803711696,6484
