n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
50,2,Exact_Baseline,,,,,,729.5673089009341,1275
50,2,Naive,,,,,,116.86366729113954,205
50,2,Max_Prob,0.00013303756713867188,0.0004658699035644531,10.147488832473755,0.00058746337890625,35.3149484279229,45.463623631246264,64
50,4,Exact_Baseline,,,,,,729.553583858591,1275
50,4,Naive,,,,,,196.15787341306006,347
50,4,Max_Prob,0.00015544891357421875,0.001760244369506836,27.725074529647827,0.004006385803222656,57.38319172686265,85.11418833559678,102
50,6,Exact_Baseline,,,,,,729.5545663815554,1275
50,6,Naive,,,,,,249.6129400914342,437
50,6,Max_Prob,0.0001857280731201172,0.010953187942504883,252.16799139976501,0.03444623947143555,118.99109875476582,371.2046753100179,212
50,8,Exact_Baseline,,,,,,729.5579931717929,1275
50,8,Naive,,,,,,134.79602526118515,237
50,8,Max_Prob,0.0001842975616455078,0.025953054428100586,277.5986077785492,0.04764413833618164,114.0159795404742,391.6883688093493,200
50,10,Exact_Baseline,,,,,,729.5598220807132,1275
50,10,Naive,,,,,,133.23740698284521,234
50,10,Max_Prob,0.00020360946655273438,0.04292941093444824,302.0307927131653,0.09213852882385254,122.58892331196324,424.7549875743534,216
