n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
45,2,Exact_Baseline,,,,,,607.6707142935119,1035
45,2,Naive,,,,,,60.31365458325112,95
45,2,Max_Prob,9.012222290039062e-05,0.00032258033752441406,0.8140950202941895,0.0006699562072753906,34.129126845542466,34.944304524604355,49
64,2,Exact_Baseline,,,,,,1193.7257272180816,2080
64,2,Naive,,,,,,89.61004468754162,145
64,2,Max_Prob,0.00026869773864746094,0.0007708072662353516,3.860936403274536,0.0016682147979736328,46.33687210695714,50.20051623003453,70
90,2,Exact_Baseline,,,,,,2340.659674556702,4095
90,2,Naive,,,,,,106.54429151707461,174
90,2,Max_Prob,0.0005433559417724609,0.006937265396118164,99.90437388420105,0.019156217575073242,71.73757399317066,171.66858471628467,112
142,2,Exact_Baseline,,,,,,5802.554807449186,10153
142,2,Naive,,,,,,102.70308094912053,166
142,2,Max_Prob,0.0013413429260253906,0.02593207359313965,745.2373807430267,0.07713842391967773,125.24509169399164,870.5868842774572,204
201,2,Exact_Baseline,,,,,,11569.478238592685,20301
201,2,Naive,,,,,,145.18263419865545,239
201,2,Max_Prob,0.002544403076171875,0.054401397705078125,2936.921058654785,0.16729497909545898,171.23387005290456,3108.3791694875663,286
