n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
45,2,Exact_Baseline,,,,,,607.2568153801274,1035
45,2,Naive,,,,,,90.24233069422898,157
45,2,Max_Prob,0.00015115737915039062,0.000438690185546875,0.7813825607299805,0.0006570816040039062,33.813484855944225,34.596114345842906,58
64,2,Exact_Baseline,,,,,,1193.2667057560914,2080
64,2,Naive,,,,,,109.44006384478375,192
64,2,Max_Prob,0.0002770423889160156,0.0010080337524414062,4.351649045944214,0.001895904541015625,46.15859487119575,50.51342489782234,81
90,2,Exact_Baseline,,,,,,2337.5287793877437,4095
90,2,Naive,,,,,,101.96334183533462,179
90,2,Max_Prob,0.0005459785461425781,0.00721287727355957,77.55731105804443,0.018153905868530273,86.66412917035508,164.24735299008773,153
142,2,Exact_Baseline,,,,,,5806.132875795954,10153
142,2,Naive,,,,,,124.97299934528432,221
142,2,Max_Prob,0.0013391971588134766,0.014549970626831055,517.5711767673492,0.044739723205566406,95.79628045632057,613.428086114661,169
201,2,Exact_Baseline,,,,,,11598.778700894316,20301
201,2,Naive,,,,,,153.89045357186535,272
201,2,Max_Prob,0.002559185028076172,0.026319265365600586,1984.5349428653717,0.08618855476379395,131.27353301842788,2115.923542888957,230
