n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
1000,2,Naive,,,,,,2156.431840555852,3752
1000,2,Max_Prob,0.0012001991271972656,0.0003819465637207031,1.1887612342834473,0.0008845329284667969,576.1041942832958,577.2954221961986,1004
1000,4,Naive,,,,,,37479.94545422406,65535
1000,4,Max_Prob,0.0012357234954833984,0.04905366897583008,50.918182373046875,0.5405199527740479,1087.1159753950606,1138.6249671133528,1895
1000,6,Naive,,,,,,62759.83720059834,109086
1000,6,Max_Prob,0.001499176025390625,0.6017317771911621,1716.176706790924,39.748223304748535,4171.91865358795,5928.446814636839,7314
1000,8,Naive,,,,,,65665.93997622468,114177
1000,8,Max_Prob,0.0016438961029052734,1.5408604145050049,4483.3553586006165,392.477432012558,8497.145865742468,13374.52116066625,14905
1000,10,Naive,,,,,,65605.17396225483,114048
1000,10,Max_Prob,0.0020494461059570312,1.9276814460754395,5044.110193014145,325.38858294487,10181.684701236643,15553.11320808784,17854
