n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
1000,2,Naive,,,,,,3048.7723193396846,5355
1000,2,Max_Prob,0.0008592605590820312,0.00010704994201660156,0.48993754386901855,0.0002560615539550781,566.7707815437982,567.2619414597223,1001
1000,4,Naive,,,,,,40237.95327102111,70405
1000,4,Max_Prob,0.015930891036987305,0.07046985626220703,95.49767589569092,1.0535829067230225,1242.9679197065498,1339.605579256263,2179
1000,6,Naive,,,,,,56658.30642240145,98822
1000,6,Max_Prob,0.011783123016357422,0.5510940551757812,1609.4649999141693,32.63385987281799,3933.893663714408,5576.555400679587,6930
1000,8,Naive,,,,,,64708.588337545305,112632
1000,8,Max_Prob,0.0017061233520507812,1.296271800994873,3734.221084833145,211.80471968650818,7908.649971293332,11855.973753737333,13891
1000,10,Naive,,,,,,70086.11042445287,121484
1000,10,Max_Prob,0.001965761184692383,2.599421977996826,6913.384145736694,1425.5517389774323,13178.309286361939,21519.846558815247,23144
