n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
1000,2,Naive,,,,,,2387.932312518395,4127
1000,2,Max_Prob,0.0009982585906982422,0.00037932395935058594,0.9716153144836426,0.0008044242858886719,580.7311049585744,581.704902279894,1005
1000,4,Naive,,,,,,46305.97821699864,80880
1000,4,Max_Prob,0.0013074874877929688,0.06923770904541016,85.57228255271912,0.8253827095031738,1224.2206604084552,1310.6888708672107,2137
1000,6,Naive,,,,,,60396.50194954076,105222
1000,6,Max_Prob,0.001495361328125,0.41147613525390625,1020.0171520709991,13.673956632614136,3271.950738392646,4306.054818592842,5713
1000,8,Naive,,,,,,60336.95077475749,105031
1000,8,Max_Prob,0.0017387866973876953,1.3218576908111572,3719.2373054027557,181.7792088985443,7683.448523212684,11585.788633991493,13469
1000,10,Naive,,,,,,64175.13112005133,111578
1000,10,Max_Prob,0.02342367172241211,2.423252582550049,6383.835077047348,630.073516368866,11974.897185129112,18991.2524547996,20981
