n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
50,2,Exact_Baseline,,,,,,735.1093387808849,1275
50,2,Naive,,,,,,191.98188609662492,318
50,2,Max_Prob,0.0001270771026611328,0.0006058216094970703,9.45984411239624,0.0007326602935791016,46.370407076501614,55.83171674790359,66
50,4,Exact_Baseline,,,,,,735.0930412020732,1275
50,4,Naive,,,,,,356.64541621632935,614
50,4,Max_Prob,0.00015592575073242188,0.005194902420043945,157.75454139709473,0.012629032135009766,108.09803286196895,265.87055411936944,172
50,6,Exact_Baseline,,,,,,735.0940542426158,1275
50,6,Naive,,,,,,255.5511496961001,435
50,6,Max_Prob,0.00016951560974121094,0.012481212615966797,314.54151916503906,0.04014778137207031,143.4936465305052,458.08796420514204,238
50,8,Exact_Baseline,,,,,,735.0963394846965,1275
50,8,Naive,,,,,,138.94454091927213,236
50,8,Max_Prob,0.00018835067749023438,0.02350139617919922,257.76584672927856,0.05006861686706543,116.10435469653393,373.9439597895363,193
50,10,Exact_Baseline,,,,,,735.0999887194682,1275
50,10,Naive,,,,,,94.28526731490648,153
50,10,Max_Prob,0.00021028518676757812,0.03885054588317871,185.2604923248291,0.043796539306640625,88.34986568259416,273.69321537779985,143
