n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
50,2,Exact_Baseline,,,,,,729.5710773449954,1275
50,2,Naive,,,,,,167.06583909706842,292
50,2,Max_Prob,0.00012445449829101562,0.00016808509826660156,5.555114984512329,0.000213623046875,30.544770802928227,36.10039195008399,55
50,4,Exact_Baseline,,,,,,729.5521876793917,1275
50,4,Naive,,,,,,405.1793794496916,712
50,4,Max_Prob,0.00014972686767578125,0.006515979766845703,152.68334889411926,0.017029762268066406,99.51062748304041,252.21767184606227,175
50,6,Exact_Baseline,,,,,,729.5562510472354,1275
50,6,Naive,,,,,,244.10856274595292,429
50,6,Max_Prob,0.00017642974853515625,0.012951850891113281,249.98641180992126,0.044850826263427734,132.54625239996415,382.5906433167885,232
50,8,Exact_Baseline,,,,,,729.5554289799746,1275
50,8,Naive,,,,,,133.42851394266424,235
50,8,Max_Prob,0.00019693374633789062,0.0250089168548584,261.52374505996704,0.05657315254211426,109.39371213628407,370.99923619939443,193
50,10,Exact_Baseline,,,,,,729.5755195599612,1275
50,10,Naive,,,,,,87.2980012389112,154
50,10,Max_Prob,0.00021076202392578125,0.04259991645812988,181.25179409980774,0.05352187156677246,85.16786876066124,266.5159954105178,151
