n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
50,2,Exact_Baseline,,,,,,728.9618713103177,1275
50,2,Naive,,,,,,117.6484190989958,205
50,2,Max_Prob,0.00012683868408203125,0.00045752525329589844,8.237097978591919,0.0006458759307861328,37.17439946587099,45.412727684331074,63
50,4,Exact_Baseline,,,,,,728.9470144949796,1275
50,4,Naive,,,,,,363.5964074250725,635
50,4,Max_Prob,0.00018739700317382812,0.004425525665283203,109.69624352455139,0.011086463928222656,95.25724341864155,204.96918632978964,165
50,6,Exact_Baseline,,,,,,728.9519938670041,1275
50,6,Naive,,,,,,237.35503277094932,413
50,6,Max_Prob,0.00017881393432617188,0.013463258743286133,342.0663523674011,0.04333209991455078,143.8133498026037,485.936676342597,247
50,8,Exact_Baseline,,,,,,728.950008555496,1275
50,8,Naive,,,,,,138.0324478186942,236
50,8,Max_Prob,0.0004019737243652344,0.023764610290527344,241.59175419807434,0.04712796211242676,111.23021604962084,352.8932647938225,191
50,10,Exact_Baseline,,,,,,728.9527832709196,1275
50,10,Naive,,,,,,90.52742343407297,153
50,10,Max_Prob,0.0002033710479736328,0.03736686706542969,177.56772804260254,0.04491448402404785,78.5468205559093,256.1970333206493,133
