n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
50,2,Exact_Baseline,,,,,,734.4522684777469,1275
50,2,Naive,,,,,,85.38641585842305,137
50,2,Max_Prob,0.00012540817260742188,0.0001590251922607422,7.40915060043335,0.00023508071899414062,36.69978073084079,44.109450845358005,53
50,4,Exact_Baseline,,,,,,734.4399026597232,1275
50,4,Naive,,,,,,391.52815957554094,679
50,4,Max_Prob,0.00016927719116210938,0.0038595199584960938,79.41536331176758,0.009592771530151367,96.33706227931802,175.7660471597654,158
50,6,Exact_Baseline,,,,,,734.4435435498447,1275
50,6,Naive,,,,,,249.48688382462632,427
50,6,Max_Prob,0.0001811981201171875,0.010035276412963867,250.4894142150879,0.03226065635681152,126.63594031322913,377.1678316592069,213
50,8,Exact_Baseline,,,,,,734.4432135785312,1275
50,8,Naive,,,,,,139.7962611703979,233
50,8,Max_Prob,0.00018787384033203125,0.01829695701599121,214.43138527870178,0.04271054267883301,107.07763653018915,321.57021718242606,177
50,10,Exact_Baseline,,,,,,734.4456990922183,1275
50,10,Naive,,,,,,92.94903202966468,153
50,10,Max_Prob,0.0002624988555908203,0.03615832328796387,169.66225790977478,0.04683089256286621,87.5256715880097,257.2711812124909,143
