n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
50,2,Exact_Baseline,,,,,,730.9562649036468,1275
50,2,Naive,,,,,,164.70831159427243,285
50,2,Max_Prob,0.00012564659118652344,0.00028777122497558594,4.616390228271484,0.0003294944763183594,35.406694446579245,40.02382758714321,61
50,4,Exact_Baseline,,,,,,730.9475681091369,1275
50,4,Naive,,,,,,325.63439248205196,571
50,4,Max_Prob,0.000148773193359375,0.003699064254760742,124.39689874649048,0.009269475936889648,81.37435771866502,205.7843737785405,142
50,6,Exact_Baseline,,,,,,730.9503626133026,1275
50,6,Naive,,,,,,262.4937349106587,459
50,6,Max_Prob,0.00017118453979492188,0.014615535736083984,432.3399248123169,0.04993700981140137,158.9876831922874,591.3923317346915,277
50,8,Exact_Baseline,,,,,,730.9522859359802,1275
50,8,Naive,,,,,,130.4911315797606,227
50,8,Max_Prob,0.0001842975616455078,0.02060675621032715,248.24701595306396,0.04350566864013672,105.1965382144734,353.5078508899495,183
50,10,Exact_Baseline,,,,,,730.959978988272,1275
50,10,Naive,,,,,,86.26972965292123,148
50,10,Max_Prob,0.00019860267639160156,0.03642535209655762,181.4871382713318,0.04424858093261719,78.18816472347649,259.7561755305138,134
