n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
15,2,Exact_Baseline,,,,,,71.0819942961974,120
15,2,Naive,,,,,,33.73540724957922,53
15,2,Max_Prob,1.3828277587890625e-05,0.0005121231079101562,11.653714895248413,0.000579833984375,21.13463451991769,32.789455200535976,30
32,2,Exact_Baseline,,,,,,319.19415716307003,528
32,2,Naive,,,,,,70.33112648826126,109
32,2,Max_Prob,4.863739013671875e-05,0.0010004043579101562,520.7005839347839,0.0016427040100097656,32.03359442354297,552.7368701040849,44
64,2,Exact_Baseline,,,,,,1208.1995173221292,2080
64,2,Naive,,,,,,86.28889094387345,132
64,2,Max_Prob,0.0002892017364501953,0.0010144710540771484,5131.416934251785,0.0016720294952392578,50.5485011179553,5181.968411072026,70
90,2,Exact_Baseline,,,,,,2360.7944530855243,4095
90,2,Naive,,,,,,89.13735138142356,134
90,2,Max_Prob,0.0005726814270019531,0.011681318283081055,52372.36120033264,0.022136449813842773,96.7064184880516,52469.10200927022,149
