n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
15,2,Exact_Baseline,,,,,,79.42149236120261,120
15,2,Naive,,,,,,31.707691782045014,57
15,2,Max_Prob,1.4066696166992188e-05,0.0006442070007324219,19.643511295318604,0.0009171962738037109,16.947782108527335,36.59286887381664,31
32,2,Exact_Baseline,,,,,,312.72461092358253,528
32,2,Naive,,,,,,62.185400395646674,112
32,2,Max_Prob,4.744529724121094e-05,0.0004470348358154297,230.3210597038269,0.0007290840148925781,20.29416172525401,250.61644499322887,37
64,2,Exact_Baseline,,,,,,1197.836575776957,2080
64,2,Naive,,,,,,52.14451374399044,92
64,2,Max_Prob,0.0002872943878173828,0.00113677978515625,3637.864320039749,0.0020818710327148438,38.92818349241036,3676.7960094773653,70
90,2,Exact_Baseline,,,,,,2348.4544354678487,4095
90,2,Naive,,,,,,69.95826279007107,125
90,2,Max_Prob,0.0005414485931396484,0.009548425674438477,39343.56969118118,0.01999950408935547,75.8585780334789,39419.458358593016,133
