n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
15,2,Exact_Baseline,,,,,,83.69649683936099,120
15,2,Naive,,,,,,17.89857463153931,30
15,2,Max_Prob,1.430511474609375e-05,0.00020194053649902344,9.833091735839844,0.00028014183044433594,10.581909832019377,20.41549795534091,17
32,2,Exact_Baseline,,,,,,501.7932753562927,528
32,2,Naive,,,,,,473.43842244148254,483
32,2,Max_Prob,4.267692565917969e-05,0.01354360580444336,1923.3190047740936,0.021097183227539062,214.4261133670807,2137.779801607132,305
64,2,Exact_Baseline,,,,,,1195.4512801949713,2080
64,2,Naive,,,,,,83.79869125229094,146
64,2,Max_Prob,0.00029468536376953125,0.006776332855224609,8458.67861199379,0.013150691986083984,62.13239259500423,8520.831226298998,108
90,2,Exact_Baseline,,,,,,2346.595835736596,4095
90,2,Naive,,,,,,105.65974648562079,184
90,2,Max_Prob,0.0005738735198974609,0.007428407669067383,27287.605207681656,0.014825820922851562,73.37463925136518,27361.00267503513,127
