n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
15,2,Exact_Baseline,,,,,,74.19850516349584,120
15,2,Naive,,,,,,22.797079203192848,30
15,2,Max_Prob,1.33514404296875e-05,0.00015878677368164062,5.720618724822998,0.0002472400665283203,15.767711763869034,21.48874986697267,17
32,2,Exact_Baseline,,,,,,317.59208822476114,528
32,2,Naive,,,,,,34.12615447493351,50
32,2,Max_Prob,4.8160552978515625e-05,0.00020575523376464844,116.62993478775024,0.00033092498779296875,25.723351744498082,142.35387137302286,34
64,2,Exact_Baseline,,,,,,1205.5059451040527,2080
64,2,Naive,,,,,,60.37260033842624,94
64,2,Max_Prob,0.00030493736267089844,0.0009837150573730469,2087.132081747055,0.0014965534210205078,48.28844033029605,2135.423307283192,73
90,2,Exact_Baseline,,,,,,2352.6060041503606,4095
90,2,Naive,,,,,,73.76352167800509,116
90,2,Max_Prob,0.0005705356597900391,0.01188969612121582,92400.5429558754,0.024546384811401367,85.26349575719559,92485.84345824919,136
