n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
15,2,Exact_Baseline,,,,,,69.88693406872206,120
15,2,Naive,,,,,,36.49594332993667,61
15,2,Max_Prob,1.3589859008789062e-05,6.961822509765625e-05,5.058335542678833,9.72747802734375e-05,9.623108410414734,14.681624435957946,16
32,2,Exact_Baseline,,,,,,320.1372873296227,528
32,2,Naive,,,,,,28.519795309008934,48
32,2,Max_Prob,4.839897155761719e-05,0.0002033710479736328,110.07499504089355,0.0002918243408203125,21.92327471026577,131.99881334551966,37
64,2,Exact_Baseline,,,,,,1205.148561720752,2080
64,2,Naive,,,,,,95.86812128992511,167
64,2,Max_Prob,0.0002911090850830078,0.0014870166778564453,3772.2994945049286,0.0025060176849365234,46.79732607101334,3819.1011047193897,82
90,2,Exact_Baseline,,,,,,2348.8625663521602,4095
90,2,Naive,,,,,,164.13800737339773,288
90,2,Max_Prob,0.0005548000335693359,0.010875701904296875,61130.668667793274,0.020621538162231445,93.37343681228744,61224.07415664566,164
